EMPLOYER_NAME,INITIAL_APPROVALS,TOTAL_APPLICATIONS,MEDIAN_SALARY,TOP_JOB_TITLE,TOP_STATE,APPROVAL_RATE
Veritiv Operating Company,5,5,97404,Supply Chain Analyst II,GA,100.0
Labcorp Central Laboratory Services LP,5,5,106392,DA Principal Architect,IN,100.0
"IT Automation, LLC",5,5,85530,Software Developer,NC,100.0
NEEVSYS INC.,5,5,110000,QA Engineer,TX,100.0
"Baptist Health Medical Group, Inc.",5,5,350000,General Internal Medicine Physician,KY,100.0
Altar Valley School District 51,5,5,52850,Kindergarten Teacher,AZ,100.0
"iZeal, Inc.",5,5,102000,Information Security Analyst,OR,100.0
"Altasciences Preclinical Seattle, LLC",5,5,86861,"Scientist II, Flow Cytometry",WA,100.0
"BRUKER NANO, INC.",5,7,122500,ELECTRICAL ENGINEER,CA,71.4
"ORANGEPEOPLE, LLC",5,5,126131,SR. DEVOPS ENGINEER,TX,100.0
InfoDyne Solutions LLC,5,7,105000,Senior Software Developer,NC,71.4
"Wilco Commercial, LLC",5,5,93000,Project Engineer,TX,100.0
NOVAMEGHA  LLC,5,5,118105,SOFTWARE DEVELOPER,NJ,100.0
"NOVA WEB TECHNOLOGIES, LLC",5,5,150000,STAFF SOFTWARE ENGINEER,AZ,100.0
"Nan, Inc.",5,5,115000,Project Engineer-Civil,HI,100.0
OHIO CONFERENCE OF SEVENTH-DAY ADVENTISTS,5,5,67443,Pastor,OH,100.0
"Lenmar Consulting, Inc.",5,5,106558,Software Developer/ Applications,TX,100.0
SANCTITYINTERNATIONAL LLC,5,5,90000,Programmer Analyst,PA,100.0
"Vied Technologies, Inc.",5,5,108826,QA Automation Architect,WA,100.0
View Operating Corporation,5,7,148699,"Director, Business Development",CA,71.4
POTOMAC CONFERENCE CORPORATION OF SEVENTH-DAY ADVENTISTS,5,5,86221,Teacher,VA,100.0
AMOGY Inc.,5,5,160080,Facilities Engineering Manager,TX,100.0
3r info LLC,5,5,82971,Software Developer,GA,100.0
Scottsdale Unified School District ,5,5,59264,Teacher,AZ,100.0
Point Stone Technology Limited Company,5,5,76960,Software Development Engineer,CA,100.0
NCC Group (Americas) Inc,5,9,137000,Senior Security Consultant,GA,55.6
Montefiore New Rochelle Hospital,5,5,92520,Clinical Laboratory Technologist,NY,100.0
"Sarah Cannon Research Institute Holdings, LLC",5,5,114000,Validation Specialist II,TX,100.0
"Montage Semiconductor, Inc.",5,5,130000,Sr. Analog Design Engineer,GA,100.0
"QuickBase, Inc.",5,5,155210,Senior Software Engineer,MA,100.0
Bank of Montreal,5,5,179088,Specialist II-IC Development,NY,100.0
"Vigna Solutions, Inc.",5,5,136240,IT Project Manager,VA,100.0
"BMW of North America, LLC",5,7,151819,Senior Software Engineer,NJ,71.4
"42 North Dental Care, PLLC",5,8,130665,General Dentist,NH,62.5
"Wolfspeed, Inc.",5,5,102000,Supply Chain Planning Analyst,NC,100.0
Banner Engineering Corp,5,5,105000,Mechanical Engineer III,MN,100.0
Wilmer Cutler Pickering Hale and Dorr LLP,5,5,365000,Senior Associate,NY,100.0
"Inception AI, Inc.",5,5,250000,Chief Technology Officer,CA,100.0
"QTC Management, Inc.",5,6,192631,"Chief Engineer, VA MDE",CA,83.3
"ImmunityBio, Inc.",5,5,129168,Research Associate,CA,100.0
Illinois Central Railroad Company,5,5,115000,IC - Specialist Solution System Integration,IL,100.0
ITvorks Inc,5,5,75000,Scrum Master,AZ,100.0
"1x Technologies, Inc",5,7,170000,"Research Engineer, Robotic Learning",CA,71.4
"Adviser Compliance Associates, LLC",5,5,109000,Product Manager,NY,100.0
Adventist Midwest Health,5,5,76960,Medical Laboratory Scientist II,IL,100.0
PSC Biotech Corporation,5,5,82500,Validation Engineer- Level 3,CA,100.0
"Scientific Games, LLC",5,5,124321,Advanced Software Engineer,GA,100.0
"openkyber, LLC",5,5,86403,IAM Engineer,CA,100.0
Align Technology Inc,5,5,170000,Sr. Manager - Corp FP&A Systems,CA,100.0
"Winlen Technologies, Inc.",5,5,112923,Software Developer,TX,100.0
"APPODIS, INC.",5,5,105997,SOFTWARE DEVELOPER,TX,100.0
"Vercel, Inc.",5,6,280000,Software Engineer,CA,83.3
"Numbers Only, Inc.",5,5,90896,Software ETL Developer,TX,100.0
World Economic Forum LLC,5,6,153750,"Head of the Regional Agenda, Latin America",NY,83.3
"Moxie Systems, Inc.",5,8,132500,Senior Architect,PA,62.5
"Paraform, Inc.",5,5,133000,Strategic Projects Lead,CA,100.0
"California Healthcare Clinical Employee Services, P.C.",5,5,136136,Clinic Director “ Physical Therapist,CA,100.0
NY Systems Inc,5,5,99000,Windows DevOps Engineer,TX,100.0
"Scifin, Inc.",5,5,200000,Founding Engineer,CA,100.0
Numero Data LLC,5,6,89159,Tableau Developer,KS,83.3
OMA4 LLC,5,5,83000,SAP ABAP Developer,GA,100.0
"Wiser Solutions, Inc.",5,5,121941,Senior Product Designer,GA,100.0
"PRONIX, INC.",5,5,107100,JAVA FULL STACK DEVELOPER,TX,100.0
Idnor Technologies Inc,5,5,112923,Software Developer,MA,100.0
CYBER WAVE LLC,5,5,99500,SOFTWARE DEVELOPER,FL,100.0
LSU Health Sciences Center,5,14,225000,Assistant Professor,LA,35.7
Rothschild & Co US Inc.,5,5,150000,Analyst,NY,100.0
SAFE MOVERS INC.,5,5,50440,Accounting Analyst,MA,100.0
Calhoun County School District,5,5,59259,Secondary School Teacher,SC,100.0
LTA Galactic Inc.,5,5,119725,Senior Mechanical Engineer,OH,100.0
"Icore Infotech, Inc.",5,5,120000,Software Developer,TX,100.0
Wipfli LLP,5,5,157500,Guidewire Business Analyst (Master Consultant),TX,100.0
Icube Technology Inc,5,5,88100,Software Developer,IL,100.0
"VeriFone, Inc.",5,5,225000,Senior Software Engineer,CA,100.0
"Murata Electronics North America, Inc.",5,5,156600,"Engineer Staff, Filter Design",CA,100.0
"NTT DATA Services Federal Government, LLC",5,5,120557,Software Quality Assurance Senior Analyst,MD,100.0
BLACKBERRY CORPORATION,5,8,173650,Distinguished Software Architect,CA,62.5
"1Finity Americas, Inc.",5,5,134971,Software Development Engineer,TX,100.0
"Mysten Labs, Inc.",5,5,225000,"Senior Software Engineer, Programming Languages",WA,100.0
California Capital Insurance Company,5,5,99424,Corporate Strategy Consultant,NV,100.0
Calcasieu Parish School Board,5,5,52361,Middle School Spanish and Science Teacher,LA,100.0
BUSINESS WORKPLACE SOLUTIONS PEO SERVICES LLC,5,5,80000,Accountant,TX,100.0
"PROSPECT INFOSYSTEM, INC.",5,5,102294,Geospatial Solutions Developer,WI,100.0
Schulte Roth & Zabel LLP,5,5,225000,Associate,NY,100.0
Wunderman Thompson LLC,5,5,148500,Senior Data and Technology Consultant,NY,100.0
"Parachute Project, Inc.",5,5,104000,Software Engineering Mentor,NY,100.0
Ideaon,5,5,130000,Computer Programmer,CA,100.0
"Wynn Las Vegas, LLC",5,6,160475,Vice President Infrastructure and Shared Service Operations,NV,83.3
PROFESSIONAL DENTAL ALLIANCE,5,5,116418,DENTIST,MI,100.0
"Alivia Analytics, LLC",5,5,105000,Software Engineer,NH,100.0
NAAS Technologies LLC,5,5,105997,Software Developer,TX,100.0
"Wilson Engineers, LLC.",5,5,92421,Design Engineer,AZ,100.0
UPMC Western Maryland Health Services LLC,5,5,350406,Nephrologist,MD,100.0
CUBEXIT INC,5,5,94370,Project Manager,FL,100.0
CTS Corporation,5,5,133716,Senior Product Engineer,IL,100.0
NYSARC INC CLINTON COUNTY CHAPTER,5,5,37211,Habilitation Counselor,NY,100.0
ITECHMATICS INC,5,9,85250,Software developer,TX,55.6
ITECH-GO LLC,5,5,92539,BUSINESS SYSTEM ANALYST,GA,100.0
"SAAP Tech Solutions, LLC",5,5,112986,Business Integrator,NC,100.0
"Parallel Web Systems, Inc.",5,5,180128,Technical Staff,CA,100.0
"Veolia Water M&S (Paramus), Inc.",5,5,111966,HYDRAULIC ENGINEER,NJ,100.0
"Zealtech, Inc.",5,5,114400,Software Engineer,CA,100.0
UPMC Altoona,5,5,300000,Hospitalist,PA,100.0
Mount Airy City Schools,5,5,48957,Dual Language Immersion Teacher,NC,100.0
"Allegiant Air, LLC",5,7,87125,Structures Repair Engineer,NV,71.4
"Quanata, LLC",5,5,213600,Product Owner,CA,100.0
Viacom International Services Inc.,5,6,150000,Senior Designer,NY,83.3
"BUDDERFLY, INC ",5,6,107380,Performance Analyst,TX,83.3
LONG FINCH TECHNOLOGIES LLC,5,5,100000,BUSINESS SYSTEMS ANALYST,CA,100.0
Plymouth Rock Management Company of New Jersey,5,5,157040,Customer Experience Manager,NJ,100.0
"CSX Transportation, Inc.",5,5,141000,Sr. Software Engineer I,FL,100.0
PT Network LLC,5,5,100000,Clinic Director,MD,100.0
PUBLIC CONSULTING GROUP LLC,5,5,144986,Senior Consultant,TX,100.0
Veolia North America LLC,5,6,109032,PROJECT ENGINEER,NE,83.3
Providence College,5,5,105000,Assistant Instructional Professor of Philosophy,RI,100.0
CUBOID LLC,5,5,84094,AZURE DATA ENGINEER,CT,100.0
"QUALITY IT SOURCE, LLC",5,5,108222,SOFTWARE DEVELOPER II,NJ,100.0
"SADA Systems, Inc.",5,5,165000,Senior Project Manager,CA,100.0
California State University San Marcos,5,5,96516,Assistant Professor,CA,100.0
"Imperative Care, Inc.",5,5,185000,Staff Software Engineer - Applications,CA,100.0
"AlixPartners, LLC",5,5,260000,"Director, Performance and Technology",CA,100.0
"CY9, INC.",5,5,86923,PEOPLESOFT APPLICATION SPECIALIST,TX,100.0
SADUP SOFTECH LLC,5,5,109283,SOFTWARE DEVELOPER,TX,100.0
"California State University, Los Angeles",5,8,92412,Assistant Professor,CA,62.5
"Alkermes, Inc.",5,5,134000,Validation Manager,MA,100.0
NYC Gravitynet LLC,5,5,103210,Software Engineer / DevOps,NY,100.0
ZURU Tech US LLC,5,5,64459,Architectural Designer,CA,100.0
"SAHI SOFTTECH, INC.",5,5,111499,SOFTWARE DEVELOPER,TX,100.0
"Verimatrix, Inc.",5,5,119103,Sr. Staff Accountant,CA,100.0
BLUE FUSION ENTERPRISE TECHNOLOGIES INC,5,5,110240,SOFTWARE DEVELOPER,GA,100.0
Qualisoft Corporation,5,5,90000,IT Service Delivery Manager,NY,100.0
"SAI Business Solutions, LLC ",5,5,85634,SAP Project Manager,TX,100.0
"Pluto, Inc",5,5,175000,Lead Software Engineer,CA,100.0
Leerink Partners LLC,5,7,135000,Analyst II,NY,71.4
Plymouth Rock Assurance Corporation,5,6,149333,Sr. Data Scientist,MA,83.3
"Wiss & Company, LLP",5,5,112000,"Manager, Tax",NJ,100.0
"Imply Data, Inc.",5,5,210316,Software Engineer II,CA,100.0
Baha Industries Corporation,5,5,147000,Systems Administrator - Senior,NJ,100.0
Callaway Golf Sales Company,5,10,164255,Principal eCommerce Software Engineer,TX,50.0
"InBiz Concepts, Inc",5,6,101857,QA Performance Tester,NJ,83.3
BRUHAT Technologies Inc.,5,5,112755,ERP Developer,TX,100.0
"Ichor Systems, Inc.",5,5,129792,Sustaining Engineer,NV,100.0
CONSULTVEDA INFO TECHNOLOGIES INC,5,5,105227,SOFTWARE ENGINEER,AR,100.0
San Francisco State University,5,10,97380,Assistant Professor,CA,50.0
OSO Ventures Inc,5,5,115000,Technical Business Analyst,PA,100.0
"CNO Services, LLC",5,5,141136,"Principal, Pega Lead Business Architect",IN,100.0
RAINBOW MEDIA HOLDINGS LLC,5,5,151819,Engineer II – PHP/Node,NY,100.0
San Diego State University Research Foundation,5,8,67683,Research Scientist I,CA,62.5
WorkMagic Inc.,5,5,180000,Head of Marketing,CA,100.0
Minted LLC,5,5,118518,Senior Network Engineer,CA,100.0
"Piston Automotive, LLC ",5,7,107500,Supplier Quality Engineer,MI,71.4
"UNICORN TECHNOLOGIES, LLC",5,5,105227,Sr. Device Manager,GA,100.0
OCTAURA LL TRADINGCO LLC,5,5,170000,SOFTWARE ENGINEER,NY,100.0
NEXTGEN IT SOLUTIONS INC,5,5,105747,Software Engineer,NJ,100.0
Innovise Technology Inc,5,5,105227,SCM Functional Engineer,TX,100.0
XPERT TECHNOLOGIES INC,5,7,116000,ASIC DESIGN VERIFICATION ENGINEER,CA,71.4
"CarParts.com, Inc.",5,5,172147,Senior Data Scientist,CA,100.0
Ai Software LLC,5,5,119260,Senior Software Engineer,MO,100.0
"SBP Consulting, Inc.",5,5,110000,Enterprise Application Design Engineer,IA,100.0
"BRIGHTNIGHT MANAGEMENT CO., LLC",5,5,180000,SENIOR FINANCIAL ANALYST,IL,100.0
"Palni, Inc.",5,5,113714,Network Engineer,TX,100.0
Advance Auto Business Support LLC ,5,5,118248,Senior Network Engineer,VA,100.0
BPM BI INC.,5,5,119018,CISCO ENGINEER,VA,100.0
XPRESS GLOBAL IT SOLUTIONS LLC,5,5,123656,Software Developer,TX,100.0
CMIC CMO USA Corporation,5,5,90000,"Scientist, Analytical R&D",NJ,100.0
INTUNE SYSTEMS INC,5,5,103938,Networking Systems Engineer,NY,100.0
INTVERSE INC,5,5,112986,Full Stack Engineer,NC,100.0
"Lakeland Hospitals at Niles and St. Joseph, Inc.",5,5,87110,Physical Therapist,MI,100.0
"Pyramid Consulting, Inc.",5,5,105250,Senior Developer,GA,100.0
OSISOFT LLC,5,5,146078,"R&D Senior Member of Technical Staff, Product Development",NJ,100.0
"Pacific Dental Services, LLC",5,5,114400,SOFTWARE ENGINEER,TX,100.0
"Initiative Media, LLC",5,7,111488,"Director, Client Solutions & Analytics",NY,71.4
COGNITIVE DATA INTELLIGENCE LLC,5,5,99000,Informatica PowerCenter Developer,TX,100.0
"COGNITIVE ARTIFICIAL INTELLIGENCE, INC.",5,5,90000,DATABASE DEVELOPER,CA,100.0
9to9 Software Solutions LLC,5,5,100000,Software Developer,TX,100.0
"PHILIPS ULTRASOUND, INC.",5,5,119912,Manufacturing Quality Engineer,PA,100.0
LangChain Inc.,5,7,167000,Product Manager,CA,71.4
PHD MEDIA LLC,5,5,170000,"ASSOCIATE DIRECTOR, DATA SCIENCE",NY,100.0
Pitney Bowes Presort Services LLC,5,5,109229,Software Engineer,NE,100.0
Sana Labs Inc.,5,5,176000,Go to Market Manager,NY,100.0
PHASORSOFT GROUP LLC,5,6,91520,SENIOR DATA PLATFORM ENGINEER,TX,83.3
Capital Research and Management Company,5,6,210000,Risk and Quantitative Solutions Analyst,CA,83.3
"SanQuest, Inc.",5,5,96034,Technical Oracle Data Engineer,TX,100.0
"Woodwell Climate Research Center, Inc.",5,5,76398,Postdoctoral Researcher [00075398],MA,100.0
RxCloud,5,5,113797,Validation Engineer,CA,100.0
INVICTECH INC.,5,5,98301,JAVA DEVELOPER,MO,100.0
San Jose State University,5,5,107340,Assistant Professor,CA,100.0
CONSULTING OPPORTUNITY HOLDINGS LLC,5,5,87859,SOFTWARE DEVELOPER,GA,100.0
San Francisco Unified School District,5,5,81312,Math Teacher,CA,100.0
"Age of Learning, Inc.",5,5,170000,Senior Software Development Engineer in Test,CA,100.0
"PulsePoint, Inc.",5,5,157000,"Product Manager, Clinical Measurement",NJ,100.0
Insight Data LLC,5,5,112923,Software Developer,TX,100.0
"Initech Global, LLC",5,5,125000,Information Technology Project Lead,MI,100.0
Paul Hastings LLP,5,5,225000,Associate,NY,100.0
American Bureau of Shipping,5,5,139370,Senior Managing Principal Engineer,TX,100.0
National Student Clearinghouse,5,5,155998,"Senior Engineer, Software",VA,100.0
"Land O'Lakes, Inc. ",5,8,150523,IT Integration Manager & Architect,MN,62.5
SambaNova Systems Inc.,5,15,179000,Senior Software Engineer,CA,33.3
CLOUDHUB9 TECHNOLOGIES LLC,5,5,113550,Software Developer,NC,100.0
PERITUS INFORMATION SERVICES LTD,5,7,106000,Associate Architect,TX,71.4
"CareDx, Inc",5,5,191889,Software Development Manager,CA,100.0
Western New England University,5,5,92700,Ass't Professor of Industrial Engineering & Engineering Mgmt,MA,100.0
"Oakwood Healthcare, Inc.",5,5,64722,Resident Physician,MI,100.0
BRAUN INTERTEC CORPORATION,5,6,80000,STAFF ENGINEER I,TX,83.3
"Vertex U.S. Holdings, Inc.",5,5,116189,"Manager, Architecture",TX,100.0
"PEOPLES GAS SYSTEM, INC.",5,5,124000,SAP FUNCTIONAL CONSULTANT,FL,100.0
Roaring Fork School District RE-1,5,5,63440,Spanish Teacher,CO,100.0
Novatio Solutions LLC,5,5,120000,Sr. Software Developer,TX,100.0
Lincoln University,5,5,64875,Document Management Specialists,CA,100.0
Security Finance Corporation of Spartanburg,5,5,112000,IS Quality Assurance Analyst III,SC,100.0
BRAINHR IT SOLUTIONS INCORPORATION,5,5,85000,SYSTEM ENGINEER,NJ,100.0
"NIO USA, Inc.",5,5,205000,Staff Algorithm Engineer,CA,100.0
CLOUD ACT LLC,5,5,105997,Software Engineer - UI,TX,100.0
"Novateur Technologies, Inc.",5,8,127410,Software Developer/Java Tech Lead,CA,62.5
Novartis Services Inc. ,5,5,141170,"Associate Director, Implementation Lead",NJ,100.0
Pacston Corporation,5,5,87000,Employment-Based Immigration Attorney,IL,100.0
Xavier University,5,5,65000,Assistant Professor of Spanish,OH,100.0
"APEX SYSTEMS, LLC",5,7,154648,Solutions Consultant,PA,71.4
"NIJC, NFP",5,6,51000,Immigration Court Helpdesk (ICH) Coordinator,IL,83.3
"NK TECHNOLABS, LLC",5,5,127878,SOFTWARE DEVELOPER,TX,100.0
iManage LLC,5,7,102690,Product Manager – Platform,IL,71.4
BATTELLE MEMORIAL INSTITUTE,5,6,144117,ELECTRICAL ENGINEER,WA,83.3
S&S TECH SOLUTIONS LLC.,5,5,106000,CLOUD DEVOPS ENGINEER,TX,100.0
OAKSTON TECHNOLOGIES LLC,5,5,105206,Sr Developer,PA,100.0
Virginia Electric and Power Company,5,5,120000,Senior Information Security Analyst,VA,100.0
"AME, Inc.",5,5,99154,Controls Engineer,NJ,100.0
NIHA TECHNOLOGIES INC,5,5,106000,SOFTWARE APPLICATIONS DEVELOPER,TX,100.0
XTO Energy Inc.,5,5,184890,Software Engineer,TX,100.0
"OVERHAUL GROUP, INC. ",5,5,82056,Key Account Manager,TX,100.0
INTELIZIGN SOLUTIONS LLC,5,5,114754,APPLICATION DEVELOPER/PLM CONSULTANT,MI,100.0
"Platinum Hospitalists, LLP",5,5,290000,Infectious Disease Physician,NV,100.0
BRIGHAM YOUNG UNIVERSITY,5,5,60704,Lytle Ranch Preserve (LRP) Operations Manager,UT,100.0
National Life Insurance Company ,5,5,150000,Associate Actuary,TX,100.0
"Cardus, Inc.",5,8,104157,QA Lead ,CA,62.5
INTEGRATED TECHNOLOGY STRATEGIES INC.,5,5,105560,Project Manager,CA,100.0
BASF Agricultural Solutions US LLC,5,5,133515,Biometrics Senior Scientist,NC,100.0
"Vertex Analytics, Inc.",5,5,106000,GCP Engineer,FL,100.0
Oak River Insurance Company,5,5,172300,Manager of Business Applications,CA,100.0
"American Battery Solutions, Inc.",5,5,140000,BMS Design Release Engineer,MI,100.0
"SecureWorks, Inc.",5,5,152534,Software Senior Engineer,GA,100.0
RADCOM Inc.,5,5,95000,RAN Engineer,NJ,100.0
"Ambience Healthcare, Inc.",5,6,198787,Software Engineer,CA,83.3
"AMERICAN UNIT, INC",5,5,109283,Mainframe Developer,TX,100.0
"Advanced Homecare Management, LLC",5,5,100133,Physical Therapist,TX,100.0
"ARCH INSURANCE GROUP, INC.",5,5,179982,Data Engineer III,NC,100.0
Mobile Programming LLC,5,5,139443,iOS Architect,CA,100.0
Altius Institute for Biomedical Sciences,5,8,81250,Computational Fellow (Pre-doctoral),WA,62.5
Mobile Heartbeat LLC,5,5,131621,Sr. Mobile UX Designer,MA,100.0
"S.C. Johnson & Son, Inc.",5,6,97880,"Manager, BPT Information Management",WI,83.3
"Infosmart Systems, Inc.",5,5,96000,Data Engineer,FL,100.0
"Canva US, Inc.",5,5,205317,Head of Sales Operations &GTM Strategy- KBGFJG256081-2,CA,100.0
Lexington City Schools,5,5,49605,Elementary Teacher,NC,100.0
Whitman College,5,8,75500,Director of Facilities Operations,WA,62.5
White Plains Hospital Medical Center,5,5,106808,Clinical Laboratory Scientist,NY,100.0
"Rockstar Games, Inc.",5,5,155000,Design Producer: Gameplay Visualization,NY,100.0
IQ Systems INC.,5,5,111600,Programmer Analyst / ESB Developer,IL,100.0
NORTEK CONSULTING INC,5,5,91374,Software Quality Assurance Engineer,TX,100.0
"Barings, LLC",5,5,148500,Residential- ABF,NC,100.0
"ISO New England, Inc.",5,5,133620,Engineer,MA,100.0
Lankenau Institute for Medical Research,5,5,62000,Postdoctoral Associate I,PA,100.0
PINACLE IT CORP LLC,5,5,83658,Technical Product Owner,IL,100.0
COMPETITIVE COMPUTER INFORMATION TECHNOLOGIES INC,5,5,84427,Database Administrator,NC,100.0
NORTHEAST OHIO REGIONAL SEWER DISTRICT,5,5,112694,ORACLE SOLUTION FUNCTIONAL LEAD,OH,100.0
UNISYS INFOTECH LLC.,5,5,115000,SOFTWARE ENGINEER,CA,100.0
ISAM Hybrid Information Systems LLC,5,5,109000,Software Developer - Backend Java,IL,100.0
Barclays Services Corp.,5,5,185000,Senior Java Developer,NJ,100.0
Polar Operations LLC,5,5,180000,Compliance Data Analyst,IL,100.0
Lafayette Parish School System,5,5,52816,Middle School French Immersion Teacher,LA,100.0
"NETLINE TECHNOLOGIES, LLC.",5,5,90002,ORACLE CONSULTANT,IN,100.0
Scripps Health,5,6,103563,"Applications Analyst, ERP",CA,83.3
"R CUBE CREATIVE CONSULTING, INC.",5,5,104000,LEAD DEVOPS ENGINEER,TX,100.0
"Liaison International, LLC",5,5,126000,Sr. Product Manager (00076199),MA,100.0
iT People Corporation,5,5,102500,Software Engineer,NC,100.0
"Afni, Inc.",5,5,94637,Senior Software Engineer,IL,100.0
"Air Products and Chemicals, Inc.",5,7,136323,"OEM Senior Sales Engineer - Americas, Membrane Solutions",OH,71.4
SARKIT INC.,5,5,99840,APPLICATIONS DEVELOPER,NY,100.0
Barry University,5,5,63000,Assistant Professor of Organic Chemistry,FL,100.0
"Advanced IT Solutions, Inc.",5,5,104000,Software Developer,TX,100.0
"Altus Power America Management, LLC",5,5,120000,Production Engineer,CT,100.0
Barclays Bank PLC ,5,5,209980,Vice President,NY,100.0
Russell Investments Group LLC,5,6,99112,Senior Quantitative Risk Analyst,WA,83.3
"COMPUNNEL SOFTWARE GROUP, INC.",5,5,121000,Software Developer,NC,100.0
"BDT Capital Partners, LLC",5,5,250000,"VP, Data Analytics & Development",NY,100.0
"NEURASOL, INC.",5,5,99000,SOFTWARE DEVELOPER,TX,100.0
SAYEON LLC,5,6,99923,ETL Tester,TX,83.3
Mission Lane LLC,5,5,176000,Senior Data Scientist,NC,100.0
BNY Mellon Government Securities Services Corporation,5,6,161195,"Senior Vice President, Back-End Engineer",NY,83.3
9Dots Technology Inc,5,5,103210,Software Developer,AZ,100.0
"Model N, Inc.",5,5,157309,Sr. Member Technical Staff 2,CA,100.0
NEW ERA CONSULTING SERVICES INC,5,5,132267,DevOps Engineer,WA,100.0
"SAVI TECHNOLOGIES, INC",5,5,83000,SOFTWARE DEVELOPER,GA,100.0
Alticor Inc.,5,5,134560,Software Developer,MI,100.0
BOARD OF EDUCATION OF ALLEGANY COUNTY,5,5,65588,Chinese Immersion Teacher,MD,100.0
COMMITPOINT INC,5,5,108826,Software Developer,MD,100.0
Nasuni Corporation,5,5,145000,Principal Software Engineer,MA,100.0
Infomedia Group Inc.,5,5,130707,Sr. Dev Ops Engineer,TX,100.0
"IPG Health, LLC",5,5,125000,Account Director,NY,100.0
R4 IT Solutions Inc,5,5,105600,Systems analyst,TX,100.0
Altimate Inc,5,5,199534,Product Manager,CA,100.0
Sealed Air Corporation (US),5,5,127633,Associate Product Manager - SEE Digital,NC,100.0
Veeam VaaS Corporation,5,5,180900,Senior Software Engineer,CA,100.0
Pythonwise Inc.,5,6,100110,Software Developer,CA,83.3
Barnard College,5,5,71656,Postdoctoral Fellow,NY,100.0
